panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,blue,Blue centreline,3,9,122.222,117.2942,507.222,472.2942,False,True
A10_P03,A10,blue,Blue centreline,3,10,119.1825,120.1166,504.1825,475.1166,False,True
A10_P03,A10,blue,Blue centreline,4,0,112.235,123.1561,497.235,478.1561,False,True
A10_P03,A10,blue,Blue centreline,4,1,110.281,123.8074,495.281,478.80740000000003,False,True
A10_P03,A10,blue,Blue centreline,4,2,107.8929,125.5443,492.8929,480.5443,False,True
A10_P03,A10,blue,Blue centreline,5,0,101.5967,128.8009,486.5967,483.8009,False,True
A10_P03,A10,blue,Blue centreline,5,1,99.4256,131.1891,484.42560000000003,486.1891,False,True
A10_P03,A10,blue,Blue centreline,5,2,97.2546,134.8799,482.2546,489.8799,False,True
A10_P03,A10,blue,Blue centreline,5,3,99.2085,138.3537,484.2085,493.3537,False,True
A10_P03,A10,blue,Blue centreline,5,4,102.8994,140.0905,487.8994,495.0905,False,True
A10_P03,A10,blue,Blue centreline,5,5,106.8073,140.959,491.8073,495.959,False,True
A10_P03,A10,blue,Blue centreline,5,6,113.1035,142.0445,498.1035,497.04449999999997,False,True
A10_P03,A10,blue,Blue centreline,5,7,120.9193,142.6958,505.9193,497.69579999999996,False,True
A10_P03,A10,blue,Blue centreline,5,8,130.4721,140.959,515.4721,495.959,False,True
A10_P03,A10,blue,Blue centreline,5,9,140.0249,137.4852,525.0249,492.48519999999996,False,True
A10_P03,A10,blue,Blue centreline,5,10,147.8408,133.7944,532.8408,488.7944,False,True
A10_P03,A10,blue,Blue centreline,5,11,153.4856,129.2351,538.4856,484.2351,False,True
A10_P03,A10,blue,Blue centreline,5,12,157.6106,125.5443,542.6106,480.5443,False,True
A10_P03,A10,blue,Blue centreline,5,13,162.1699,118.8139,547.1699,473.8139,False,True
A10_P03,A10,blue,Blue centreline,5,14,164.9923,112.952,549.9923,467.952,False,True
A10_P03,A10,blue,Blue centreline,5,15,167.8147,107.7414,552.8147,462.7414,False,True
A10_P03,A10,blue,Blue centreline,5,16,169.5516,101.0111,554.5516,456.0111,False,True
A10_P03,A10,blue,Blue centreline,5,17,171.2884,95.5834,556.2884,450.5834,False,True
A10_P03,A10,blue,Blue centreline,5,18,171.7226,88.853,556.7226,443.853,False,True
A10_P03,A10,blue,Blue centreline,5,19,171.7226,81.9056,556.7226,436.9056,False,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,0,47.7539,83.2082,432.7539,438.20820000000003,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,1,47.971,73.2212,432.971,428.2212,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,2,49.7079,61.4974,434.7079,416.49739999999997,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,3,53.3987,49.7736,438.3987,404.7736,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,4,58.8264,40.655,443.8264,395.655,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,5,65.5568,33.9247,450.5568,388.92470000000003,True,True
