axis,pass_number,bin_index,bin_left,bin_right,is_last_bin,sample_count,weight_total,signed_mean_deg,rms_deg,p95_abs_deg,chord_rms_px
phase,1,20,3.49065850398866,3.66519142918809,False,34,9.93209819871797,64.5129866177187,64.5246686990851,65.899695911265,78.5312691813274
phase,1,21,3.66519142918809,3.83972435438753,False,45,9.66019792967811,64.8305055724717,64.8336539081158,65.9616744658538,75.2244194818648
phase,1,22,3.83972435438753,4.01425727958696,False,57,12.2362507109256,65.6770282214497,65.6776046109934,66.2114180704951,73.795391504477
phase,1,23,4.01425727958696,4.18879020478639,False,54,11.5922375156137,64.6288612794316,64.6320479842286,65.4770029445529,69.8601979934866
phase,1,24,4.18879020478639,4.36332312998582,False,54,11.5922375156137,61.7437441857762,61.7793658517026,64.0802113644104,64.1246154977971
phase,1,25,4.36332312998582,4.53785605518526,False,49,10.5188821900939,54.7168036685193,54.7310352815186,57.094192204548,54.1792083883097
phase,1,26,4.53785605518526,4.71238898038469,False,47,10.089540059886,54.4652148908008,54.4706678467606,55.8798690511404,52.1213169128922
phase,1,27,4.71238898038469,4.88692190558412,False,46,9.87486899478207,57.2645940182771,57.266283357348,57.7975179270064,53.3487243397097
phase,1,28,4.88692190558412,5.06145483078356,False,45,9.66019792967811,53.9675835892701,53.9957844257008,56.3259690040116,48.5586014820784
phase,1,29,5.06145483078356,5.23598775598299,False,67,3.41300381802414,35.1143092508481,36.2184154573627,50.6300655094379,30.9067306094117
phase,1,30,5.23598775598299,5.41052068118242,False,436,101.777859077028,14.2998990926909,15.8924718868286,30.2963919332201,70.943521913295
phase,1,31,5.41052068118242,5.58505360638185,False,298,72.1540126323101,-2.25477943707633,10.9730991895788,31.3964090519313,25.4877827076545
phase,1,32,5.58505360638185,5.75958653158129,False,448,28.577906603785,-18.4069688702363,19.5064320045684,24.7343444074992,60.2111973083697
phase,1,33,5.75958653158129,5.93411945678072,False,176,41.4876749520915,-32.5836482624216,33.9347657768156,42.319449363842,83.4580057860129
phase,1,34,5.93411945678072,6.10865238198015,False,154,34.8582897787656,-44.2975048470319,45.3595914367484,53.9577972403596,93.4733389651311
